"word","Vogue","VS"
"60",0.00317460317460317,0.00675675675675676
"backstage",0.00317460317460317,0.00675675675675676
"butt",0.00317460317460317,0.00675675675675676
"david",0.00317460317460317,0.00675675675675676
"fittings",0.00317460317460317,0.00675675675675676
"it’s",0.00317460317460317,0.00675675675675676
"lima’s",0.00317460317460317,0.00675675675675676
"lip",0.00317460317460317,0.00675675675675676
"music",0.00317460317460317,0.00675675675675676
"official",0.00317460317460317,0.00675675675675676
"push",0.00317460317460317,0.00675675675675676
"social",0.00317460317460317,0.00675675675675676
"spring",0.00317460317460317,0.00675675675675676
"video",0.00317460317460317,0.00675675675675676
"baby",0.00634920634920635,0.00675675675675676
"class",0.00634920634920635,0.00675675675675676
"dance",0.00634920634920635,0.00675675675675676
"de",0.00634920634920635,0.00675675675675676
"hair",0.00634920634920635,0.00675675675675676
"here’s",0.00634920634920635,0.00675675675675676
"sampaio’s",0.00634920634920635,0.00675675675675676
"scenes",0.00634920634920635,0.00675675675675676
"stella",0.00634920634920635,0.00675675675675676
"aldridge",0.00952380952380952,0.00675675675675676
"lima",0.00952380952380952,0.00675675675675676
"models",0.00952380952380952,0.00675675675675676
"party",0.00952380952380952,0.00675675675675676
"trailer",0.00952380952380952,0.00675675675675676
"day",0.0126984126984127,0.00675675675675676
"master",0.0126984126984127,0.00675675675675676
"stories",0.0126984126984127,0.00675675675675676
"bella",0.019047619047619,0.00675675675675676
"makeup",0.0285714285714286,0.00675675675675676
"hadid",0.0349206349206349,0.00675675675675676
"101",NA,0.00675675675675676
"17",NA,0.00675675675675676
"2u",NA,0.00675675675675676
"action",NA,0.00675675675675676
"affair",NA,0.00675675675675676
"aldridge’s",NA,0.00675675675675676
"ale",NA,0.00675675675675676
"ambrosio",NA,0.00675675675675676
"ambrosio’s",NA,0.00675675675675676
"amman",NA,0.00675675675675676
"annual",NA,0.00675675675675676
"artisans",NA,0.00675675675675676
"award",NA,0.00675675675675676
"balmain’s",NA,0.00675675675675676
"bieber",NA,0.00675675675675676
"bling",NA,0.00675675675675676
"bralettes",NA,0.00675675675675676
"bras",NA,0.00675675675675676
"candice",NA,0.00675675675675676
"castings",NA,0.00675675675675676
"classical",NA,0.00675675675675676
"cotton",NA,0.00675675675675676
"countdown",NA,0.00675675675675676
"creating",NA,0.00675675675675676
"crush",NA,0.00675675675675676
"cut",NA,0.00675675675675676
"dare",NA,0.00675675675675676
"deal",NA,0.00675675675675676
"destination",NA,0.00675675675675676
"dublin",NA,0.00675675675675676
"festival",NA,0.00675675675675676
"flexibility",NA,0.00675675675675676
"focus",NA,0.00675675675675676
"football",NA,0.00675675675675676
"form",NA,0.00675675675675676
"global",NA,0.00675675675675676
"guetta",NA,0.00675675675675676
"healthy",NA,0.00675675675675676
"hill’s",NA,0.00675675675675676
"hosk’s",NA,0.00675675675675676
"hunt’s",NA,0.00675675675675676
"improve",NA,0.00675675675675676
"intel",NA,0.00675675675675676
"intense",NA,0.00675675675675676
"introducing",NA,0.00675675675675676
"joins",NA,0.00675675675675676
"joja",NA,0.00675675675675676
"justin",NA,0.00675675675675676
"lais",NA,0.00675675675675676
"land",NA,0.00675675675675676
"launch",NA,0.00675675675675676
"madison",NA,0.00675675675675676
"major",NA,0.00675675675675676
"march",NA,0.00675675675675676
"max",NA,0.00675675675675676
"maxwell",NA,0.00675675675675676
"means",NA,0.00675675675675676
"meet",NA,0.00675675675675676
"mind",NA,0.00675675675675676
"mist",NA,0.00675675675675676
"newman",NA,0.00675675675675676
"news",NA,0.00675675675675676
"nights",NA,0.00675675675675676
"nominated",NA,0.00675675675675676
"obsessed",NA,0.00675675675675676
"opera",NA,0.00675675675675676
"play",NA,0.00675675675675676
"plunge",NA,0.00675675675675676
"poland",NA,0.00675675675675676
"private",NA,0.00675675675675676
"promo",NA,0.00675675675675676
"quiz",NA,0.00675675675675676
"restore",NA,0.00675675675675676
"russia",NA,0.00675675675675676
"sadie",NA,0.00675675675675676
"sale",NA,0.00675675675675676
"sampaio",NA,0.00675675675675676
"santa",NA,0.00675675675675676
"sara’s",NA,0.00675675675675676
"score",NA,0.00675675675675676
"sculpture",NA,0.00675675675675676
"semi",NA,0.00675675675675676
"shanghai",NA,0.00675675675675676
"shortie",NA,0.00675675675675676
"showtime",NA,0.00675675675675676
"skriver’s",NA,0.00675675675675676
"spirit",NA,0.00675675675675676
"start",NA,0.00675675675675676
"strapless",NA,0.00675675675675676
"stream",NA,0.00675675675675676
"stress",NA,0.00675675675675676
"swanepoel",NA,0.00675675675675676
"sync",NA,0.00675675675675676
"time",NA,0.00675675675675676
"utendahl",NA,0.00675675675675676
"verite",NA,0.00675675675675676
"vote",NA,0.00675675675675676
"wax",NA,0.00675675675675676
"xo",NA,0.00675675675675676
"8",0.00317460317460317,0.0135135135135135
"beth",0.00317460317460317,0.0135135135135135
"coming",0.00317460317460317,0.0135135135135135
"media",0.00317460317460317,0.0135135135135135
"victoria's",0.00317460317460317,0.0135135135135135
"7",0.00634920634920635,0.0135135135135135
"balmain",0.00634920634920635,0.0135135135135135
"easy",0.00634920634920635,0.0135135135135135
"game",0.00634920634920635,0.0135135135135135
"jasmine",0.0126984126984127,0.0135135135135135
"tookes",0.0126984126984127,0.0135135135135135
"night",0.019047619047619,0.0135135135135135
"taylor",0.0222222222222222,0.0135135135135135
"wear",0.0222222222222222,0.0135135135135135
"paris",0.0349206349206349,0.0135135135135135
"ready",0.0888888888888889,0.0135135135135135
"30",NA,0.0135135135135135
"305",NA,0.0135135135135135
"4",NA,0.0135135135135135
"6",NA,0.0135135135135135
"anderson",NA,0.0135135135135135
"ballet",NA,0.0135135135135135
"china",NA,0.0135135135135135
"cooke",NA,0.0135135135135135
"dogpound",NA,0.0135135135135135
"friend",NA,0.0135135135135135
"january",NA,0.0135135135135135
"josephine",NA,0.0135135135135135
"martha",NA,0.0135135135135135
"scandalous",NA,0.0135135135135135
"singapore",NA,0.0135135135135135
"special",NA,0.0135135135135135
"stretch",NA,0.0135135135135135
"swim",NA,0.0135135135135135
"tracy",NA,0.0135135135135135
"2",0.00317460317460317,0.0202702702702703
"body",0.00317460317460317,0.0202702702702703
"hosk",0.00317460317460317,0.0202702702702703
"moves",0.00317460317460317,0.0202702702702703
"sara",0.00634920634920635,0.0202702702702703
"lily",0.00952380952380952,0.0202702702702703
"adriana",0.0158730158730159,0.0202702702702703
"5",0.019047619047619,0.0202702702702703
"2017",0.0349206349206349,0.0202702702702703
"alessandra",NA,0.0202702702702703
"beautiful",NA,0.0202702702702703
"bralette",NA,0.0202702702702703
"fitness",NA,0.0202702702702703
"illusions",NA,0.0202702702702703
"shirt",NA,0.0202702702702703
"summer",NA,0.0202702702702703
"dream",NA,0.027027027027027
"extended",NA,0.027027027027027
"interviews",NA,0.027027027027027
"online",NA,0.027027027027027
"secret’s",NA,0.027027027027027
"voices",NA,0.027027027027027
"vsxbalmain",NA,0.027027027027027
"elsa",0.00317460317460317,0.0337837837837838
"olivier",0.00317460317460317,0.0337837837837838
"real",0.00317460317460317,0.0337837837837838
"rousteing",0.00317460317460317,0.0337837837837838
"fantasy",0.00952380952380952,0.0337837837837838
"victoria",0.00952380952380952,0.0337837837837838
"1",NA,0.0337837837837838
"fragrance",NA,0.0337837837837838
"holiday",NA,0.0337837837837838
"3",0.0158730158730159,0.0405405405405405
"collection",NA,0.0405405405405405
"teaser",NA,0.0405405405405405
"live",NA,0.0472972972972973
"talk",NA,0.0472972972972973
"episode",NA,0.0540540540540541
"sport",NA,0.0540540540540541
"bra",0.00634920634920635,0.0608108108108108
"love",0.00634920634920635,0.0608108108108108
"train",0.00317460317460317,0.0743243243243243
"tv",NA,0.0878378378378378
"sexy",0.00317460317460317,0.0945945945945946
"road",NA,0.108108108108108
"runway",0.00634920634920635,0.114864864864865
"angels",0.00634920634920635,0.121621621621622
"angel",0.0126984126984127,0.121621621621622
"fashion",0.0952380952380952,0.182432432432432
"commercial",NA,0.256756756756757
"2016",0.0634920634920635,0.304054054054054
"secret",0.053968253968254,0.662162162162162
"victoria’s",0.0349206349206349,0.675675675675676
"100",0.00317460317460317,NA
"12",0.00317460317460317,NA
"141st",0.00317460317460317,NA
"15",0.00317460317460317,NA
"16",0.00317460317460317,NA
"1892",0.00317460317460317,NA
"19",0.00317460317460317,NA
"1900s",0.00317460317460317,NA
"1920s",0.00317460317460317,NA
"1930s",0.00317460317460317,NA
"1950s",0.00317460317460317,NA
"1960s",0.00317460317460317,NA
"1980s",0.00317460317460317,NA
"1s",0.00317460317460317,NA
"2019",0.00317460317460317,NA
"2050",0.00317460317460317,NA
"21",0.00317460317460317,NA
"22",0.00317460317460317,NA
"28",0.00317460317460317,NA
"32",0.00317460317460317,NA
"36",0.00317460317460317,NA
"45",0.00317460317460317,NA
"9",0.00317460317460317,NA
"adele",0.00317460317460317,NA
"adut",0.00317460317460317,NA
"age",0.00317460317460317,NA
"air",0.00317460317460317,NA
"airport",0.00317460317460317,NA
"akech's",0.00317460317460317,NA
"album",0.00317460317460317,NA
"alicia",0.00317460317460317,NA
"altschul",0.00317460317460317,NA
"aluna",0.00317460317460317,NA
"alunageorge",0.00317460317460317,NA
"amber",0.00317460317460317,NA
"amy",0.00317460317460317,NA
"andreea",0.00317460317460317,NA
"andy",0.00317460317460317,NA
"angelic",0.00317460317460317,NA
"angelina",0.00317460317460317,NA
"announces",0.00317460317460317,NA
"answers",0.00317460317460317,NA
"applies",0.00317460317460317,NA
"aquaria",0.00317460317460317,NA
"ari",0.00317460317460317,NA
"ariana",0.00317460317460317,NA
"arnold’s",0.00317460317460317,NA
"art",0.00317460317460317,NA
"artist",0.00317460317460317,NA
"artistic",0.00317460317460317,NA
"ashton",0.00317460317460317,NA
"aspirations",0.00317460317460317,NA
"avant",0.00317460317460317,NA
"bada",0.00317460317460317,NA
"bag",0.00317460317460317,NA
"baldwin",0.00317460317460317,NA
"baldwin’s",0.00317460317460317,NA
"ball",0.00317460317460317,NA
"band",0.00317460317460317,NA
"bar",0.00317460317460317,NA
"barrymore’s",0.00317460317460317,NA
"bathing",0.00317460317460317,NA
"beaded",0.00317460317460317,NA
"bean",0.00317460317460317,NA
"beckham",0.00317460317460317,NA
"bedtime",0.00317460317460317,NA
"bejeweled",0.00317460317460317,NA
"bennett",0.00317460317460317,NA
"benton",0.00317460317460317,NA
"bergdorf",0.00317460317460317,NA
"beyoncé",0.00317460317460317,NA
"bffs",0.00317460317460317,NA
"biles",0.00317460317460317,NA
"bitches",0.00317460317460317,NA
"bite",0.00317460317460317,NA
"blake",0.00317460317460317,NA
"blesses",0.00317460317460317,NA
"blue",0.00317460317460317,NA
"bodegas",0.00317460317460317,NA
"bold",0.00317460317460317,NA
"bootylicious",0.00317460317460317,NA
"boundary",0.00317460317460317,NA
"bowie",0.00317460317460317,NA
"boy",0.00317460317460317,NA
"boyfriend",0.00317460317460317,NA
"boyfriend’s",0.00317460317460317,NA
"braided",0.00317460317460317,NA
"branded",0.00317460317460317,NA
"brannon",0.00317460317460317,NA
"brazilian",0.00317460317460317,NA
"breakup",0.00317460317460317,NA
"bria",0.00317460317460317,NA
"brighton",0.00317460317460317,NA
"bringing",0.00317460317460317,NA
"brit",0.00317460317460317,NA
"british",0.00317460317460317,NA
"broadway",0.00317460317460317,NA
"brooke",0.00317460317460317,NA
"brooklyn",0.00317460317460317,NA
"browning",0.00317460317460317,NA
"brows",0.00317460317460317,NA
"bruna's",0.00317460317460317,NA
"bts",0.00317460317460317,NA
"bus",0.00317460317460317,NA
"cabello",0.00317460317460317,NA
"california",0.00317460317460317,NA
"cam",0.00317460317460317,NA
"camila",0.00317460317460317,NA
"cannes",0.00317460317460317,NA
"cape",0.00317460317460317,NA
"captured",0.00317460317460317,NA
"care",0.00317460317460317,NA
"carlotta",0.00317460317460317,NA
"carmen",0.00317460317460317,NA
"carolina",0.00317460317460317,NA
"caroline",0.00317460317460317,NA
"cassie’s",0.00317460317460317,NA
"catholicism",0.00317460317460317,NA
"cazzie",0.00317460317460317,NA
"ceiling",0.00317460317460317,NA
"celebrities",0.00317460317460317,NA
"cfda",0.00317460317460317,NA
"chaka",0.00317460317460317,NA
"changing",0.00317460317460317,NA
"chapel",0.00317460317460317,NA
"charm’s",0.00317460317460317,NA
"cheetos",0.00317460317460317,NA
"chicago",0.00317460317460317,NA
"chicano",0.00317460317460317,NA
"chloë",0.00317460317460317,NA
"choices",0.00317460317460317,NA
"chrome",0.00317460317460317,NA
"ciara",0.00317460317460317,NA
"ciara’s",0.00317460317460317,NA
"clarke",0.00317460317460317,NA
"cleaning",0.00317460317460317,NA
"clip",0.00317460317460317,NA
"clothing",0.00317460317460317,NA
"club",0.00317460317460317,NA
"clubs",0.00317460317460317,NA
"cocktail",0.00317460317460317,NA
"cocktails",0.00317460317460317,NA
"cohen",0.00317460317460317,NA
"columnist's",0.00317460317460317,NA
"combats",0.00317460317460317,NA
"confidence",0.00317460317460317,NA
"content",0.00317460317460317,NA
"contestants",0.00317460317460317,NA
"contouring",0.00317460317460317,NA
"coolest",0.00317460317460317,NA
"cosmetic",0.00317460317460317,NA
"couple",0.00317460317460317,NA
"courtesy",0.00317460317460317,NA
"couture",0.00317460317460317,NA
"cover",0.00317460317460317,NA
"covered",0.00317460317460317,NA
"covers",0.00317460317460317,NA
"cozy",0.00317460317460317,NA
"craig",0.00317460317460317,NA
"creator",0.00317460317460317,NA
"creator’s",0.00317460317460317,NA
"crystals",0.00317460317460317,NA
"cuoco’s",0.00317460317460317,NA
"curl",0.00317460317460317,NA
"cynthia",0.00317460317460317,NA
"cyrus",0.00317460317460317,NA
"daisy",0.00317460317460317,NA
"dakota",0.00317460317460317,NA
"dancers",0.00317460317460317,NA
"dances",0.00317460317460317,NA
"dancing",0.00317460317460317,NA
"dark",0.00317460317460317,NA
"daryl",0.00317460317460317,NA
"dating",0.00317460317460317,NA
"david’s",0.00317460317460317,NA
"days",0.00317460317460317,NA
"daytime",0.00317460317460317,NA
"dear",0.00317460317460317,NA
"debuts",0.00317460317460317,NA
"decide",0.00317460317460317,NA
"define",0.00317460317460317,NA
"defying",0.00317460317460317,NA
"degrees",0.00317460317460317,NA
"del",0.00317460317460317,NA
"demi",0.00317460317460317,NA
"denée",0.00317460317460317,NA
"derek",0.00317460317460317,NA
"designed",0.00317460317460317,NA
"designs",0.00317460317460317,NA
"detox",0.00317460317460317,NA
"diaconu",0.00317460317460317,NA
"diaz",0.00317460317460317,NA
"diner",0.00317460317460317,NA
"dion",0.00317460317460317,NA
"dion’s",0.00317460317460317,NA
"director",0.00317460317460317,NA
"discuss",0.00317460317460317,NA
"ditto",0.00317460317460317,NA
"diva",0.00317460317460317,NA
"divine",0.00317460317460317,NA
"diy",0.00317460317460317,NA
"documentary",0.00317460317460317,NA
"dog",0.00317460317460317,NA
"dolan",0.00317460317460317,NA
"donald",0.00317460317460317,NA
"donatella",0.00317460317460317,NA
"door",0.00317460317460317,NA
"dose",0.00317460317460317,NA
"dreams",0.00317460317460317,NA
"dree",0.00317460317460317,NA
"drew",0.00317460317460317,NA
"dsquared2",0.00317460317460317,NA
"dunn",0.00317460317460317,NA
"eating",0.00317460317460317,NA
"eaton",0.00317460317460317,NA
"efron",0.00317460317460317,NA
"egyptian",0.00317460317460317,NA
"elba",0.00317460317460317,NA
"electra's",0.00317460317460317,NA
"elle",0.00317460317460317,NA
"ellis",0.00317460317460317,NA
"elsesser’s",0.00317460317460317,NA
"emilia",0.00317460317460317,NA
"emily",0.00317460317460317,NA
"endings",0.00317460317460317,NA
"ensembles",0.00317460317460317,NA
"epic",0.00317460317460317,NA
"erika",0.00317460317460317,NA
"erivo",0.00317460317460317,NA
"esther",0.00317460317460317,NA
"eurydice",0.00317460317460317,NA
"existential",0.00317460317460317,NA
"expectations",0.00317460317460317,NA
"expects",0.00317460317460317,NA
"explains",0.00317460317460317,NA
"explores",0.00317460317460317,NA
"eye's",0.00317460317460317,NA
"eyebrows",0.00317460317460317,NA
"eyeliner",0.00317460317460317,NA
"eyes",0.00317460317460317,NA
"eyeshadow",0.00317460317460317,NA
"fabulous",0.00317460317460317,NA
"faced",0.00317460317460317,NA
"failed",0.00317460317460317,NA
"fairy",0.00317460317460317,NA
"faith",0.00317460317460317,NA
"faking",0.00317460317460317,NA
"fame",0.00317460317460317,NA
"fan",0.00317460317460317,NA
"fanning's",0.00317460317460317,NA
"farm",0.00317460317460317,NA
"favorite",0.00317460317460317,NA
"feel",0.00317460317460317,NA
"fencing",0.00317460317460317,NA
"fendi",0.00317460317460317,NA
"fenty",0.00317460317460317,NA
"fights",0.00317460317460317,NA
"film",0.00317460317460317,NA
"fitspiration",0.00317460317460317,NA
"fitting",0.00317460317460317,NA
"flag",0.00317460317460317,NA
"flirting",0.00317460317460317,NA
"florida",0.00317460317460317,NA
"fontana",0.00317460317460317,NA
"force",0.00317460317460317,NA
"francis",0.00317460317460317,NA
"fresh",0.00317460317460317,NA
"front",0.00317460317460317,NA
"futuristic",0.00317460317460317,NA
"gala’s",0.00317460317460317,NA
"garde",0.00317460317460317,NA
"genius",0.00317460317460317,NA
"ghosting",0.00317460317460317,NA
"gillian",0.00317460317460317,NA
"gina",0.00317460317460317,NA
"girlfriend",0.00317460317460317,NA
"givenchy",0.00317460317460317,NA
"giving",0.00317460317460317,NA
"glitter",0.00317460317460317,NA
"globes",0.00317460317460317,NA
"glover",0.00317460317460317,NA
"glow",0.00317460317460317,NA
"golden",0.00317460317460317,NA
"goulart’s",0.00317460317460317,NA
"graham's",0.00317460317460317,NA
"grammys",0.00317460317460317,NA
"grand",0.00317460317460317,NA
"grande",0.00317460317460317,NA
"graynor",0.00317460317460317,NA
"gucci",0.00317460317460317,NA
"guru",0.00317460317460317,NA
"gwyneth",0.00317460317460317,NA
"haddish",0.00317460317460317,NA
"hades",0.00317460317460317,NA
"hadid's",0.00317460317460317,NA
"haim",0.00317460317460317,NA
"halloween",0.00317460317460317,NA
"halo",0.00317460317460317,NA
"hang",0.00317460317460317,NA
"happy",0.00317460317460317,NA
"hari",0.00317460317460317,NA
"harris",0.00317460317460317,NA
"hartzel",0.00317460317460317,NA
"hartzel’s",0.00317460317460317,NA
"hates",0.00317460317460317,NA
"hating",0.00317460317460317,NA
"headlining",0.00317460317460317,NA
"helen",0.00317460317460317,NA
"helicopter",0.00317460317460317,NA
"hemingway’s",0.00317460317460317,NA
"hennessy",0.00317460317460317,NA
"highlight",0.00317460317460317,NA
"hilfiger",0.00317460317460317,NA
"hippie",0.00317460317460317,NA
"history",0.00317460317460317,NA
"homer",0.00317460317460317,NA
"hosting",0.00317460317460317,NA
"hoyeon",0.00317460317460317,NA
"husband",0.00317460317460317,NA
"hyojoo",0.00317460317460317,NA
"i’ve",0.00317460317460317,NA
"idris",0.00317460317460317,NA
"ii",0.00317460317460317,NA
"imagines",0.00317460317460317,NA
"included",0.00317460317460317,NA
"ingredient",0.00317460317460317,NA
